Old Code,New Code
ES#MA,ES:madrid
ESSSJ,ES:sevilla_santa_justa
ESMAL,ES:malaga_maria_zambrano
ESGRN,ES:granada
ES#BA,ES:barcelona
ES#VA,ES:valencia
ESBIA,ES:bilbao_abando_indalecio_prieto
ESSNS,ES:san_sebastian_donostia
ES#ZA,ES:zaragoza
ESPAM,ES:pamplona_iruna
ESMDI,ES:murcia
ESSLM,ES:salamanca
ESCOC,ES:cordoba_central
ESALT,ES:alacant_terminal
ESSGV,ES:segovia
ESCAD,ES:cadiz
ESVCG,ES:valladolid
ESSAN,ES:santander
ESRON,ES:ronda
ESMEI,ES:merida
ESLEO,ES:leon
ESCIR,ES:ciudad_real
ESALR,ES:almeria
ESVTG,ES:vitoria_gasteiz
ESJDL,ES:jerez_de_la_frontera
ESTOL,ES:toledo
ESOVI,ES:oviedo
ESBRG,ES:burgos_rosa_de_lima
ESCAC,ES:caceres
ESBAD,ES:badajoz
ESHUT,ES:huelva
ESLOG,ES:logrono
ESALI,ES:algeciras
ESANT,ES:antequera
ES#TA,ES:tarragona
ESLEL,ES:lleida_pirineus
ESAVI,ES:avila
ESSDC,ES:santiago_de_compostela
ESIRU,ES:irun
ESACO,ES:a_coruna
ESCDL,ES:castello_de_la_plana
ESMDB,ES:miranda_de_ebro
ESGDX,ES:guadix
ESCRT,ES:cartagena
ESTAF,ES:tafalla
ESALB,ES:albacete_los_llanos
ESTDV,ES:talavera_de_la_reina
ESASA,ES:antequera_santa_ana
ESTOI,ES:torrijos
ESGIR,ES:girona
ESJOU,ES:jodar_ubeda
ESPLS,ES:plasencia
ESEPT,ES:elda_petrer
ESLMR,ES:almagro_2
ESPON,ES:ponferrada
ESTRL,ES:teruel
ESVAE,ES:valdepenas
ESBAS,ES:san_fernando_bahia_sur
ESMRZ,ES:monzon_rio_cinca
ESVBL,ES:sabinanigo
ESLIB,ES:linares_baeza
ESZAM,ES:zamora
ESPDE,ES:puerto_de_s_maria
ESORE,ES:ourense_empalme
ESTRC,ES:tarancon
ESPAL,ES:palencia
ESCLT,ES:calatayud
ESPUE,ES:puertollano
ESLUS,ES:lugo_spain
ESVLN,ES:villena
ESIZN,ES:iznalloz
ESCNC,ES:cuenca
ESRHL,ES:orihuela_miguel_hernandez
ESGDJ,ES:guadalajara
ESMDF,ES:monforte_de_lemos
ESLLS,ES:illescas
ESBES,ES:beasain
ESTRV,ES:torrelavega
ESMPR,ES:madrid_atocha
ESTOO,ES:tolosa
ESSGN,ES:siguenza
ESPNV,ES:pontevedra
ESTPC,ES:torre_pacheco
ESSFD,ES:loja_san_francisco
ESRNJ,ES:aranjuez
ESTRS,ES:tortosa
ESVIR,ES:villarrobledo
ESVIN,ES:vinaroz
ESRVL,ES:arevalo
ESSHG,ES:sahagun
ESNDJ,ES:andujar
ESOBD,ES:o_barco_de_valdeorras
ESCFZ,ES:cuenca_fernando_zobel
ESFRR,ES:ferrol
ESVJS,ES:valencia_joaquin_sorolla
ESBEP,ES:benicarlo_peniscola
ESIDA,ES:villagarcia_de_arousa
ESBSN,ES:barcelona_sants
ESJAE,ES:jaen
ESMRH,ES:marchena
ESHSC,ES:huesca
ESRUB,ES:rubielos_de_mora
ESMDC,ES:medina_del_campo
ESEDB,ES:penaranda_de_bracamonte
ESCAY,ES:carinena
ESALN,ES:almansa
ESPOT,ES:pontecesures
ESSTR,ES:astorga
ESPAR,ES:padron
ESLDH,ES:alcala_de_henares
ESRLC,ES:ricla_la_almunia
ESLIT,PT:lisboa_rossio
ESORO,ES:oropesa_de_toledo
